time (EST),demand megawatthours (MWh),forecast demand megawatthours (MWh),net generation megawatthours (MWh),net imports megawatthours (MWh)
03/ 7/2023 00H,12106,12160,10096,2010
03/ 6/2023 23H,12741,12990,11244,1497
03/ 6/2023 22H,13760,13990,11972,1788
03/ 6/2023 21H,14557,14780,13008,1549
03/ 6/2023 20H,15128,15350,13702,1426
03/ 6/2023 19H,15440,15700,14032,1408
03/ 6/2023 18H,14758,15200,13336,1422
03/ 6/2023 17H,13234,13860,11638,1596
03/ 6/2023 16H,12069,12640,10318,1751
03/ 6/2023 15H,11450,11760,9800,1650
03/ 6/2023 14H,11107,11120,9676,1431
03/ 6/2023 13H,10567,11020,9348,1219
03/ 6/2023 12H,10603,11070,9270,1333
03/ 6/2023 11H,10649,11270,8990,1659
03/ 6/2023 10H,11212,11940,9634,1578
03/ 6/2023 09H,12267,12650,10701,1566
03/ 6/2023 08H,13434,13550,11876,1558
03/ 6/2023 07H,13479,13420,11828,1651
03/ 6/2023 06H,12220,12270,10184,2036
03/ 6/2023 05H,11470,11300,9330,2140
03/ 6/2023 04H,11080,10860,9029,2051
03/ 6/2023 03H,10983,10750,8974,2009
03/ 6/2023 02H,11079,10840,9009,2070
03/ 6/2023 01H,11354,11120,9078,2276
03/ 6/2023 00H,11887,11790,9346,2541
03/ 5/2023 23H,12631,12520,9888,2743
03/ 5/2023 22H,13353,13340,10547,2806
03/ 5/2023 21H,14139,14090,11338,2801
03/ 5/2023 20H,14668,14950,11827,2841
03/ 5/2023 19H,14944,15250,12082,2862
03/ 5/2023 18H,14287,14500,11157,3130
03/ 5/2023 17H,13099,13480,10135,2964
03/ 5/2023 16H,12164,12350,9071,3093
03/ 5/2023 15H,11997,11480,8983,3014
03/ 5/2023 14H,11445,10340,8623,2822
03/ 5/2023 13H,11240,10200,9003,2237
03/ 5/2023 12H,11294,10240,8932,2362
03/ 5/2023 11H,11472,10330,8796,2676
03/ 5/2023 10H,11984,10770,9310,2674
03/ 5/2023 09H,12206,11630,9585,2621
03/ 5/2023 08H,12373,12200,9512,2861
03/ 5/2023 07H,12291,11900,9370,2921
03/ 5/2023 06H,11897,11450,9182,2715
03/ 5/2023 05H,11657,11080,8966,2691
03/ 5/2023 04H,11782,11020,9007,2775
03/ 5/2023 03H,11783,11090,9035,2748
03/ 5/2023 02H,11825,11260,9068,2757
03/ 5/2023 01H,11973,11600,9261,2712
