time (EST),real time dollars per megawatthour ($/MWh),day-ahead dollars per megawatthour ($/MWh)
03/ 7/2023 00H,22.99,29.37
03/ 6/2023 23H,31.41,40.24
03/ 6/2023 22H,57.52,59.2
03/ 6/2023 21H,66.47,67.81
03/ 6/2023 20H,69.57,71.78
03/ 6/2023 19H,104.39,80.19
03/ 6/2023 18H,64.88,68.06
03/ 6/2023 17H,35.14,34.4
03/ 6/2023 16H,29.07,29
03/ 6/2023 15H,29.29,22.68
03/ 6/2023 14H,28.33,23.57
03/ 6/2023 13H,16.39,22.66
03/ 6/2023 12H,8.12,22.67
03/ 6/2023 11H,-48.44,26.26
03/ 6/2023 10H,12.59,30.43
03/ 6/2023 09H,23.76,36.62
03/ 6/2023 08H,28.03,72.09
03/ 6/2023 07H,31.95,63.4
03/ 6/2023 06H,25.08,34.3
03/ 6/2023 05H,23.93,28.32
03/ 6/2023 04H,20.74,24.91
03/ 6/2023 03H,19.83,24.34
03/ 6/2023 02H,19.47,25.12
03/ 6/2023 01H,20.88,25.92
03/ 6/2023 00H,20.73,27.74
03/ 5/2023 23H,24.08,32.25
03/ 5/2023 22H,25.88,35.62
03/ 5/2023 21H,27.25,37.88
03/ 5/2023 20H,31.23,47.6
03/ 5/2023 19H,29.39,53.57
03/ 5/2023 18H,28,46.96
03/ 5/2023 17H,25.96,32.15
03/ 5/2023 16H,21.13,30.78
03/ 5/2023 15H,26.61,28.77
03/ 5/2023 14H,-10.68,28.68
03/ 5/2023 13H,25.88,29.75
03/ 5/2023 12H,27.31,31.7
03/ 5/2023 11H,-1.95,34.68
03/ 5/2023 10H,25.96,34.87
03/ 5/2023 09H,29.14,35.76
03/ 5/2023 08H,25.6,39.49
03/ 5/2023 07H,27.93,39.54
03/ 5/2023 06H,27.39,37.79
03/ 5/2023 05H,26.85,37.84
03/ 5/2023 04H,27.48,34.86
03/ 5/2023 03H,29.37,39.05
03/ 5/2023 02H,30.41,37.32
03/ 5/2023 01H,31.67,43.96
03/ 5/2023 00H,36.64,45.08
